District,Type_of_sl,LU_2010,LU_2018,POINT_X,POINT_Y,Rainfall(mm),Normal(mm)
2,1,14,14,75.884333,11.876385,2450.9,2234.9
2,1,14,14,75.89357,11.869428,2450.9,2234.9
2,1,14,14,75.822068,11.93913,2450.9,2234.9
2,1,14,14,75.867313,11.937907,2450.9,2234.9
2,1,14,14,75.889993,11.930755,2450.9,2234.9
2,1,14,14,75.893822,11.933468,2450.9,2234.9
2,1,14,14,75.896654,11.942402,2450.9,2234.9
2,1,14,14,75.897494,11.940884,2450.9,2234.9
2,1,14,14,75.89851,11.939381,2450.9,2234.9
2,1,14,14,75.906704,11.937541,2450.9,2234.9
2,1,14,14,75.909047,11.937774,2450.9,2234.9
2,1,14,14,75.920091,11.902209,2450.9,2234.9
2,1,14,14,75.914161,11.904538,2450.9,2234.9
2,1,14,14,75.913397,11.901219,2450.9,2234.9
2,1,14,14,75.917287,11.900732,2450.9,2234.9
2,1,14,14,75.915477,11.900092,2450.9,2234.9
2,1,14,14,75.908021,11.895198,2450.9,2234.9
2,1,14,14,75.908112,11.890322,2450.9,2234.9
2,1,14,14,75.904241,11.891641,2450.9,2234.9
2,1,14,14,75.902702,11.895261,2450.9,2234.9
2,1,14,14,75.893146,11.900707,2450.9,2234.9
2,1,14,14,75.892535,11.898741,2450.9,2234.9
2,1,14,14,75.895611,11.896566,2450.9,2234.9
2,1,14,14,75.907372,11.846124,2450.9,2234.9
2,1,14,14,75.910145,11.846446,2450.9,2234.9
2,1,14,14,75.910945,11.849887,2450.9,2234.9
2,1,14,14,75.912829,11.848312,2450.9,2234.9
2,1,14,14,75.913198,11.852622,2450.9,2234.9
2,1,14,14,75.915322,11.848374,2450.9,2234.9
2,1,14,14,75.915762,11.848246,2450.9,2234.9
2,1,14,14,75.91563,11.846619,2450.9,2234.9
2,1,14,14,75.922737,11.853542,2450.9,2234.9
2,1,14,14,75.92547,11.848636,2450.9,2234.9
2,1,14,14,75.920621,11.857474,2450.9,2234.9
2,1,14,14,75.917363,11.864081,2450.9,2234.9
2,1,14,14,75.917855,11.868039,2450.9,2234.9
2,1,14,14,75.91312,11.869994,2450.9,2234.9
2,1,14,14,75.908218,11.874276,2450.9,2234.9
2,1,14,14,75.906365,11.876576,2450.9,2234.9
2,1,14,14,75.910553,11.876553,2450.9,2234.9
2,1,14,14,75.928248,11.887695,2450.9,2234.9
2,1,14,14,75.929121,11.88729,2450.9,2234.9
2,1,14,14,75.931135,11.888173,2450.9,2234.9
2,1,14,14,75.930972,11.887248,2450.9,2234.9
2,1,14,14,75.788697,12.052856,2450.9,2234.9
2,1,14,14,75.797032,12.069741,2450.9,2234.9
2,1,14,14,75.794814,12.066034,2450.9,2234.9
2,1,14,14,75.807435,12.025509,2450.9,2234.9
2,3,14,14,75.867313,11.934044,2450.9,2234.9
2,1,15,15,75.872843,11.895616,2450.9,2234.9
2,1,15,15,75.869725,11.865807,2450.9,2234.9
2,1,15,15,75.863065,11.865155,2450.9,2234.9
2,1,15,15,75.864287,11.855766,2450.9,2234.9
2,1,15,15,75.860992,11.855618,2450.9,2234.9
2,1,15,15,75.870784,11.854645,2450.9,2234.9
2,1,15,15,75.877444,11.856754,2450.9,2234.9
2,1,15,15,75.883542,11.862391,2450.9,2234.9
2,1,15,15,75.891658,11.847443,2450.9,2234.9
2,1,15,15,75.901179,11.847559,2450.9,2234.9
2,1,15,15,75.903511,11.847753,2450.9,2234.9
2,1,15,15,75.904133,11.847713,2450.9,2234.9
2,1,15,15,75.904623,11.848264,2450.9,2234.9
2,1,15,15,75.388234,12.272428,2450.9,2234.9
2,3,15,15,75.394891,12.269673,2450.9,2234.9
2,1,16,16,75.776357,12.067919,2450.9,2234.9
2,1,18,18,75.93522,11.886389,2450.9,2234.9
2,1,18,18,75.905009,11.896664,2450.9,2234.9
2,1,18,18,75.922173,11.894317,2450.9,2234.9
2,1,18,18,75.921068,11.894497,2450.9,2234.9
2,1,23,23,75.809327,11.950133,2450.9,2234.9
3,3,2,2,75.136362,12.347996,2549.94,2489.1
3,3,24,10,75.015414,12.654953,2549.94,2489.1
3,3,13,13,75.413566,12.349144,2549.94,2489.1
3,3,15,15,75.343353,12.319971,2549.94,2489.1
3,3,15,15,75.356968,12.330797,2549.94,2489.1
3,3,15,15,75.345063,12.338773,2549.94,2489.1
3,3,15,15,75.344007,12.339918,2549.94,2489.1
3,3,15,15,75.360712,12.376512,2549.94,2489.1
3,1,15,15,75.358311,12.420089,2549.94,2489.1
3,1,15,15,75.302959,12.489987,2549.94,2489.1
3,3,15,15,75.28938,12.266778,2549.94,2489.1
3,3,15,15,75.190771,12.29959,2549.94,2489.1
